,regime_0,regime_1,regime_2,regime_3
ghi,0.006890330518589522,0.07083149720367074,0.0033512352799316405,0.0
air_temp,0.11892966637731908,0.00027859979770628203,0.005881936348625961,0.02066760187800142
humidity,0.0,0.009174019230707446,0.0,0.0
wind_speed,0.0,0.0001703502690346821,0.0,0.0
hour,0.0,0.021519097271531725,0.023626672608779105,0.0
month,0.0,0.003952409700475186,0.004518114020721598,0.019957857715642634
hour_sin,0.09790608451352006,0.0002622967465748853,0.0006464650374916806,0.0010267285235067763
hour_cos,0.0,0.43719733248540166,0.011519097445632322,0.0
doy_sin,0.07458001675863656,0.03165412298471339,0.09023185479503042,0.1554898456088208
doy_cos,0.0,0.15868180700005255,0.4317623975434364,0.7831732676941224
cos_zenith_proxy,0.6161009212385317,0.061561500222053235,0.08937917412740738,0.0
clear_sky_index,0.0,0.13313356067850632,0.3371473621417989,0.006086724267188437
ghi_sq,0.0,0.0,0.0,0.0
ghi_x_elev,0.008931360449702925,0.030524830007207463,0.001935690651144656,0.0
ghi_lag1,0.0453903875458849,0.033329322139891746,0.0,0.0
ghi_roll3,0.031271232597815314,0.00772925426247275,0.0,0.0
temp_x_wind,0.0,0.0,0.0,0.013597974312717264
temp_excess,0.0,0.0,0.0,0.0
