,regime_0,regime_1,regime_2,regime_3
ghi,0.0001751121629206903,0.0243178947616697,0.00904994959675275,8.940264002158927e-05
air_temp,0.0,0.0022300232982813755,0.0013423865500056381,0.004943125150784127
humidity,0.0,0.0,0.0,0.0
wind_speed,0.0,0.0,0.0,0.0
hour,0.0,0.050198626876426206,0.020797516345819896,0.0
month,0.0,0.006344075002861061,0.013927897032781864,0.029672089411223283
hour_sin,0.0,0.0038507497018144044,0.00086618054554096,0.0
hour_cos,0.0,0.3220264936861582,0.005620266373738437,0.0
doy_sin,0.08773372591515392,0.04326417993124366,0.08754064137677854,0.14358626737268632
doy_cos,0.0,0.15761859549885934,0.40465749384416,0.786988149024867
cos_zenith_proxy,0.7253771697202083,0.07475947041696952,0.06005537078219437,0.0
clear_sky_index,0.0,0.19374455732798757,0.37375973167370063,0.015868138952374107
ghi_sq,0.0,0.0,0.0,0.0
ghi_x_elev,0.0,0.02787139579124002,0.0,0.0
ghi_lag1,0.0,0.009953699901522603,0.0,0.0
ghi_roll3,0.0,0.004296059550672909,0.0,0.0
temp_x_wind,0.0,0.0,0.00039119087450029415,0.010916700753253065
temp_excess,0.0,0.0,0.0,0.0
temp_lag1,0.18671399220171714,0.008149617298469037,0.0039033436091769915,0.005806632122802425
temp_roll24,0.0,0.013618644959401119,0.007540753682904651,0.0005473181568542282
rh_roll24,0.0,0.0,0.0,0.0
rh_x_temp,0.0,0.003643073293077688,0.0,0.0015821764151338485
ghi_std3,0.0,0.025181564597514968,0.0,0.0
csi_roll24,0.0,0.028931278105830755,0.010547277711944908,0.0
