,regime_0,regime_1,regime_2,regime_3
ghi,0.0,0.008531193357652126,0.0025326067028977168,0.004404153705071998
air_temp,0.0,0.009968658462925434,0.004877298046992561,0.004575126037107007
humidity,0.07791542572140571,0.0009885440395838111,0.0026941510839500224,0.0041501767183442315
wind_speed,0.12332782207530943,0.0009941587652602026,8.631361547660344e-05,0.0005261608678248642
hour,0.0,0.35742703747900534,0.20342327664020962,0.1395761005088814
month,0.0,0.02047643130884848,0.09961959391415279,0.17333040286559667
hour_sin,0.003979363200912564,0.008669085124490192,0.009694962249113662,0.012393467313348979
hour_cos,0.0,0.0010755977442702895,0.0038266208065640024,0.0011330638459884721
doy_sin,0.18011175211409858,0.023310313004012193,0.06504643884299165,0.1115563878756582
doy_cos,0.0,0.04761284376012802,0.07977460253903004,0.03532534029304942
cos_zenith_proxy,0.0,0.04318925589832679,0.047143057568771206,0.02754606324101726
clear_sky_index,0.0,0.14104342617839294,0.16049958124049907,0.20729167210041097
ghi_sq,0.0,0.0,0.0,0.0
ghi_x_elev,0.0,0.018048831798140836,0.0065235610323131875,0.0081428009256266
ghi_lag1,0.6146656368882737,0.07381294869977695,0.08343767334668933,0.04094530558295599
ghi_roll3,0.0,0.0307654078015551,0.029304549908115374,0.008656984837690005
temp_x_wind,0.0,0.00478777802735698,0.0092934563711141,0.03242005229820754
temp_excess,0.0,0.0,0.0,0.0
temp_lag1,0.0,0.13378018554534907,0.04348910451111582,0.02805461912768282
temp_roll24,0.0,0.007344922502928043,0.014072982576400658,0.03134298415487017
rh_roll24,0.0,0.0031856701061776247,0.002547934071593269,0.0
rh_x_temp,0.0,0.00146874899611481,0.01403598047183953,0.02405505633049836
ghi_std3,0.0,0.05840107948962237,0.10809567464398787,0.0902185286987783
csi_roll24,0.0,0.005117881910082234,0.009980579816181962,0.014355552671390817
